product_id,firm_id,city,year,quarter,share,price,sugar,mushy,outshare,mkt_mean_sugar,mkt_mean_mushy,z_rival_sugar,z_rival_mushy,z_own_sugar,z_own_mushy,haus_iv,delta_logit
1004,1,1,88,1,0.012417212,0.072087944,2,1,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.26666666666666666,8.229585798816569,0.4437869822485207,0.13432030782608698,-3.8002890068317625
1006,1,1,88,1,0.007809386999999999,0.11417849,18,1,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.26666666666666666,8.210650887573964,0.4437869822485207,0.13249028408695654,-4.264046109833233
1007,1,1,88,1,0.012994511,0.13239066,4,1,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.26666666666666666,8.227218934911242,0.4437869822485207,0.13169845060869567,-3.7548455439600823
1009,1,1,88,1,0.005769961,0.13034408,3,0,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.26666666666666666,8.228402366863905,0.44497041420118344,0.1317874323478261,-4.566707260089499
1011,1,1,88,1,0.017934141,0.15482331,12,0,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.26666666666666666,8.21775147928994,0.44497041420118344,0.13072311800000003,-3.4326663668276702
1013,1,1,88,1,0.026601892000000002,0.13704921,14,0,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.26666666666666666,8.215384615384615,0.44497041420118344,0.13149590495652178,-3.0383902404101386
1017,1,1,88,1,0.025014766,0.14420936,3,1,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.26666666666666666,8.228402366863905,0.4437869822485207,0.13118459408695654,-3.0999062909788293
1030,1,1,88,1,0.00505805,0.12819085,4,0,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.26666666666666666,8.227218934911242,0.44497041420118344,0.13188105104347828,-4.698391547958794
1045,1,1,88,1,0.005331765,0.14961074,14,0,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.26666666666666666,8.215384615384615,0.44497041420118344,0.13094975147826088,-4.64569025366106
2005,2,1,88,1,0.038067798,0.10851394,1,0,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.3333333333333333,8.23076923076923,0.3337278106508876,0.13273656886956522,-2.6800038535858595
2008,2,1,88,1,0.008347720999999999,0.13228658,11,0,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.3333333333333333,8.218934911242604,0.3337278106508876,0.13170297582608698,-4.197384014010149
2015,2,1,88,1,0.006596185,0.11208285,4,1,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.3333333333333333,8.227218934911242,0.33254437869822484,0.13258139886956521,-4.432881129882448
2016,2,1,88,1,0.030117432000000003,0.11526257,3,1,0.5552245249999999,8.625,0.3333333333333333,8.866666666666667,0.3333333333333333,8.228402366863905,0.33254437869822484,0.13244315017391306,-2.9142684411550803
